Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2004/5/6,5797,5965,5750,5849,5989.2,6192.61,0.12,-160.28,-122.04,-38.23,0.1,0.14,0.26,0.29,29513,-3082
2004/5/7,5800,5995,5791,5979,5985.8,6153.77,0.25,-152.45,-132.18,-20.28,0.15,0.15,0.37,0.36,28689,-824
2004/5/10,5927,5927,5701,5751,5907.53,6080.54,0.05,-156.39,-140.25,-16.14,0.12,0.14,0.28,0.3,28677,-12
2004/5/11,5816,5878,5656,5858,5891.02,6040.08,0.22,-149.98,-143.49,-6.49,0.15,0.14,0.36,0.35,28223,-454
2004/5/12,5928,6004,5910,5942,5908.01,6022.25,0.41,-126.98,-137.99,11.01,0.24,0.17,0.43,0.39,27002,-1221
2004/5/13,5920,5950,5850,5890,5902.01,5998.2,0.46,-112.73,-129.57,16.84,0.31,0.22,0.4,0.37,29115,2113
2004/5/14,5908,5945,5720,5745,5849.67,5952.16,0.17,-109.58,-122.91,13.33,0.27,0.23,0.32,0.34,26129,-2986
2004/5/17,5695,5698,5343,5358,5685.78,5844.13,0.02,-136.96,-127.59,-9.37,0.18,0.22,0.2,0.26,19197,-6932
2004/5/18,5429,5560,5386,5523,5631.52,5785.75,0.27,-143.43,-132.87,-10.56,0.21,0.22,0.33,0.33,14311,-4886
2004/5/19,5592,5909,5560,5891,5718.01,5804.88,0.83,-111.75,-125.83,14.08,0.42,0.28,0.53,0.46,8096,-6215
2004/5/20,5775,5875,5588,5685,5707.01,5783.09,0.52,-97.39,-116.35,18.96,0.45,0.34,0.44,0.41,20167,12071
2004/5/21,5734,5915,5670,5840,5751.34,5793.43,0.75,-74.15,-102.28,28.13,0.55,0.41,0.52,0.45,20818,651
2004/5/24,5878,5965,5756,5871,5791.23,5807.54,0.8,-51.79,-85.45,33.66,0.63,0.48,0.53,0.46,20686,-132
2004/5/25,5790,5925,5771,5841,5807.82,5813.62,0.8,-37.65,-69.52,31.87,0.69,0.55,0.51,0.46,20549,-137
2004/5/26,6000,6070,5971,5990,5868.55,5845.69,0.89,-11.78,-50.27,38.5,0.76,0.62,0.6,0.5,20924,375
2004/5/27,6010,6025,5945,6001,5912.7,5873.93,0.91,3.92,-32.21,36.13,0.81,0.68,0.6,0.51,21967,1043
2004/5/28,6053,6066,5990,6043,5956.13,5904.67,0.96,17.82,-15.53,33.35,0.86,0.74,0.63,0.52,22907,940
2004/5/31,6037,6038,5885,5928,5946.75,5908.91,0.72,17.23,-4.61,21.84,0.81,0.76,0.52,0.48,23908,1001
