date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2014/7/8,put,9515.18,9540.57,9530.98,9515.18,9499.38,8043.06,0.953522779813
2014/7/9,put,9510.0,9522.99,9489.98,9510.0,9530.02,8063.08,0.955896195659
2014/7/10,put,9512.89,9568.75,9565.12,9512.89,9460.66,8010.85,0.949704212161
2014/7/11,put,9561.71,9591.27,9495.84,9561.71,9627.58,8076.72,0.957513248213
2014/7/14,put,9497.81,9545.99,9520.3,9497.81,9475.32,8054.23,0.954847008334
2014/7/15,put,9558.42,9593.68,9569.17,9558.42,9547.67,8043.48,0.953572571754
2014/7/16,put,9570.33,9574.13,9484.73,9570.33,9655.93,8129.08,0.963720643502
2014/7/17,put,9420.11,9461.86,9408.24,9420.11,9431.98,8140.95,0.965127858591
2014/7/18,put,9335.38,9421.34,9400.97,9335.38,9269.79,8075.36,0.957352017166
2014/7/21,put,9453.78,9480.14,9440.97,9453.78,9466.59,8088.17,0.958870671361
2014/7/22,put,9453.23,9499.36,9499.36,9453.23,9407.1,8042.04,0.953401856528
2014/7/24,put,9508.26,9538.07,9527.54,9508.26,9488.98,8022.76,0.95111616934
2014/7/25,put,9519.99,9528.7,9439.29,9519.99,9600.69,8103.46,0.960683335112
2014/7/28,put,9415.9,9460.43,9420.18,9415.9,9411.62,8099.18,0.960175931524
2014/7/29,put,9457.8,9483.75,9391.88,9457.8,9523.72,8165.1,0.967990895188
2014/7/30,put,9409.62,9456.03,9447.02,9409.62,9372.22,8127.7,0.96355704141
2014/7/31,put,9436.04,9438.97,9315.85,9436.04,9556.23,8247.89,0.977805835141
2014/8/1,put,9223.75,9274.64,9266.51,9223.75,9180.99,8205.13,0.972736541357
2014/8/4,put,9280.29,9330.19,9330.19,9280.29,9230.39,8155.23,0.966820784579
2014/8/5,put,9316.82,9316.82,9141.44,9316.82,9492.2,8330.61,0.987612476438
2014/8/6,put,9148.36,9163.81,9143.97,9148.36,9152.75,8335.0,0.988132920772
2014/8/7,put,9162.65,9172.88,9131.44,9162.65,9193.86,8366.21,0.991832936183
2014/8/8,put,9120.2,9120.2,9085.96,9120.2,9154.44,8400.45,0.995892164882
2014/8/11,put,9109.83,9184.96,9172.91,9109.83,9046.75,8337.37,0.98841388958
2014/8/12,put,9188.85,9198.1,9163.12,9188.85,9214.58,8363.1,0.991464238717
2014/8/13,put,9155.02,9231.66,9231.31,9155.02,9078.73,8286.81,0.982419888324
2014/8/14,put,9276.41,9282.01,9230.61,9276.41,9322.21,8332.61,0.987849580918
2014/8/15,put,9243.67,9243.67,9206.81,9243.67,9280.53,8369.47,0.992219416486
2014/8/18,put,9222.73,9222.73,9141.31,9222.73,9304.15,8450.89,1.00187193987
2014/8/19,put,9188.63,9255.09,9243.78,9188.63,9133.48,8395.74,0.995333783832
2014/8/20,put,9278.15,9294.49,9288.05,9278.15,9268.25,8385.84,0.994160116655
2014/8/21,put,9286.82,9289.02,9253.38,9286.82,9320.26,8419.28,0.998124503562
2014/8/22,put,9273.07,9380.6,9380.1,9273.07,9166.04,8312.25,0.985435857311
2014/8/25,put,9393.24,9409.35,9390.62,9393.24,9395.86,8314.87,0.985746464179
2014/8/26,put,9394.28,9418.77,9393.96,9394.28,9394.6,8315.19,0.985784400896
2014/8/27,put,9426.29,9491.75,9485.59,9426.29,9366.99,8255.89,0.978754253062
2014/8/28,put,9499.22,9502.42,9478.37,9499.22,9520.07,8276.74,0.981226067267
2014/8/29,put,9459.81,9470.15,9436.27,9459.81,9483.35,8300.28,0.984016786997
2014/9/1,put,9474.41,9532.66,9513.06,9474.41,9435.76,8261.63,0.979434742919
2014/9/2,put,9503.65,9503.65,9399.72,9503.65,9607.58,8365.56,0.991755877227
2014/9/3,put,9434.88,9455.78,9450.35,9434.88,9419.41,8350.09,0.989921874074
2014/9/4,put,9439.76,9439.76,9428.89,9439.76,9450.63,8360.96,0.991210536923
2014/9/5,put,9446.45,9451.39,9407.94,9446.45,9484.96,8399.47,0.995775983687
2014/9/9,put,9452.14,9465.93,9434.77,9452.14,9469.51,8416.84,0.997835236097
2014/9/10,put,9410.62,9410.62,9357.61,9410.62,9463.63,8469.85,1.00411969034
2014/9/11,put,9376.38,9381.05,9322.95,9376.38,9429.81,8523.28,1.01045393653
2014/9/12,put,9324.74,9333.28,9223.18,9324.74,9426.3,8624.84,1.02249410203
2014/9/15,put,9206.41,9242.23,9217.46,9206.41,9195.36,8613.79,1.02118409977
2014/9/16,put,9218.85,9219.42,9133.4,9218.85,9304.3,8699.24,1.03131438869
2014/9/17,put,9171.04,9252.38,9195.17,9171.04,9146.91,8675.11,1.02845372313
2014/9/18,put,9211.8,9237.88,9237.03,9211.8,9186.57,8649.88,1.02546265012
