Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2011/8/4,8472.37,8496.07,8317.27,8317.27,8540.88,8653.22,8623.47,8737.35,1415.09,1401.56,1332.57,-43.16,-17.47,-25.7,0.248,0.4442,0.2113,0.3193,73085,6107
2011/8/5,7962.87,7975.82,7844.77,7853.13,8382.67,8562,8578.65,8717.68,1626.19,1429.54,1356.44,-97.14,-33.4,-63.74,0.1682,0.3522,0.1064,0.2086,60354,-12731
2011/8/8,7769.6,7799.49,7451.29,7552.8,8152.96,8448.93,8522.99,8693.45,1683.25,1496.6,1421.62,-161.66,-59.05,-102.61,0.1368,0.2804,0.0768,0.1676,60036,-318
2011/8/9,7261.54,7599.14,7148.76,7493.12,7934.64,8318.82,8473.1,8669.8,2027.1,1644.63,1511.47,-222.78,-91.8,-130.98,0.1611,0.2406,0.0721,0.1608,62048,2012
2011/8/10,7717.58,7751.59,7632.34,7736.32,7790.53,8210.7,8435.51,8650.67,1795.18,1709.36,1558.1,-245.74,-122.58,-123.15,0.2281,0.2365,0.2885,0.2898,60464,-1584
2011/8/11,7566.39,7761.4,7499.54,7719.09,7670.89,8105.89,8397.4,8630.24,1538.8,1734.1,1567.83,-264.07,-150.88,-113.19,0.274,0.249,0.2829,0.2864,59604,-860
2011/8/12,7825.8,7853.53,7637.02,7637.02,7627.67,8005.17,8350.5,8609.31,1409.74,1690.81,1560.18,-274.11,-175.53,-98.59,0.2926,0.2635,0.2546,0.2699,58556,-1048
2011/8/15,7769.17,7819.39,7748.46,7819.39,7680.99,7916.97,8314.55,8592.35,935.89,1541.34,1518.97,-270.05,-194.43,-75.61,0.361,0.296,0.4115,0.3593,49904,-8652
2011/8/16,7886.93,7896.19,7778.65,7798.59,7742.08,7838.36,8278.25,8576.54,1057.7,1347.46,1496.05,-262.48,-208.04,-54.44,0.4014,0.3312,0.4,0.3539,43884,-6020
2011/8/17,7807.67,7821.99,7732.32,7741.76,7743.17,7766.85,8230.03,8559.62,1139.81,1216.39,1462.87,-258.22,-218.08,-40.15,0.5066,0.3896,0.3663,0.3387,32765,-11119
2011/8/18,7721.19,7721.19,7561.02,7614.97,7722.35,7696.62,8174.92,8541.09,1205.89,1149.81,1441.96,-262.43,-226.95,-35.49,0.5457,0.4417,0.299,0.3068,57535,24770
2011/8/19,7414.36,7429.96,7316.83,7342.96,7663.53,7645.6,8103.8,8517,1228.58,1113.57,1402.19,-284.27,-238.41,-45.86,0.4504,0.4446,0.203,0.2513,56037,-1498
2011/8/22,7348.71,7468.74,7248.69,7312.59,7562.17,7621.58,8035.25,8492.04,1229.1,1172.21,1356.78,-299.93,-250.72,-49.22,0.3332,0.4074,0.1946,0.2459,56118,81
2011/8/23,7369.43,7564.64,7349.57,7550.23,7512.5,7627.29,7973.05,8470.82,1301.64,1221,1284.23,-295.39,-259.65,-35.74,0.3773,0.3974,0.4195,0.3631,56807,689
2011/8/24,7592.51,7594.81,7432.52,7502.93,7464.74,7603.95,7907.33,8446.05,1293.82,1251.81,1234.1,-288.09,-265.34,-22.75,0.3824,0.3924,0.3933,0.3512,58651,1844
2011/8/25,7559.47,7564.87,7409.02,7410.87,7423.92,7573.13,7839.51,8418.53,1129.5,1236.53,1193.17,-283.82,-269.04,-14.79,0.3384,0.3744,0.3432,0.3284,60882,2231
2011/8/26,7438.52,7503.38,7389.57,7445.1,7444.34,7553.94,7779.56,8392.76,1064.14,1203.64,1158.61,-277.5,-270.73,-6.77,0.3267,0.3585,0.3785,0.3456,59136,-1746
2011/8/29,7482.92,7608.77,7474.31,7578.01,7497.43,7529.8,7723.39,8368.28,832.33,1124.28,1148.25,-260.29,-268.64,8.35,0.4093,0.3755,0.503,0.4097,57808,-1328
2011/8/30,7654.37,7675.17,7599.27,7646.19,7516.62,7514.56,7676.46,8344.77,1092.58,1082.47,1151.74,-237.3,-262.37,25.07,0.5533,0.4347,0.5576,0.4403,57722,-86
2011/8/31,7665.22,7741.36,7602.68,7741.36,7564.31,7514.52,7640.69,8323.67,1077.28,1039.16,1145.48,-211.4,-252.18,40.78,0.7022,0.5239,0.6264,0.4813,59566,1844
2011/9/1,7799.18,7886.04,7755.55,7757.76,7633.68,7528.8,7612.71,8302.95,1348.76,1083.02,1159.77,-182.11,-238.16,56.05,0.7344,0.5941,0.638,0.4884,59258,-308
2011/9/2,7801.28,7801.28,7703.1,7757.06,7696.08,7570.21,7607.91,8284.93,887.34,1047.66,1125.65,-159.86,-222.5,62.65,0.7428,0.6436,0.637,0.4881,58866,-392
2011/9/5,7637.9,7637.9,7538.58,7551.57,7690.79,7594.11,7607.84,8265.58,895.92,1060.38,1092.33,-155.33,-209.07,53.74,0.604,0.6304,0.4081,0.4059,59775,909
2011/9/6,7496.24,7522.94,7357.76,7367.19,7634.99,7575.8,7601.55,8241.21,1072.52,1056.37,1069.42,-163.27,-199.91,36.64,0.4086,0.5565,0.2943,0.3485,59561,-214
2011/9/7,7468.29,7529.01,7428.7,7529.01,7592.52,7578.41,7591.18,8219.5,934.85,1027.88,1033.52,-159.64,-191.85,32.22,0.3804,0.4978,0.4545,0.4262,60358,797
2011/9/8,7601.29,7626.78,7520.76,7548.37,7550.64,7592.16,7582.65,8201.07,1006.54,959.43,1021.23,-150.42,-183.57,33.15,0.3739,0.4565,0.4717,0.435,61424,1066
2011/9/9,7568.22,7651.27,7547,7610.57,7521.34,7608.71,7581.32,8183.98,898.39,961.64,1004.65,-137.98,-174.45,36.47,0.4088,0.4406,0.5291,0.4638,60245,-1179
