date,dateline,strike_price,callorput,open,high,close
2016/1/5,201603,8400,put,474,520,500
2016/1/5,201603,8500,call,100,105,80
2016/1/5,201603,8500,put,0,0,0
2016/1/5,201603,8600,call,69,74,60
2016/1/5,201603,8600,put,590,665,665
2016/1/5,201603,8700,call,53,53,41.5
2016/1/5,201603,8700,put,0,0,0
2016/1/5,201603,8800,call,32.5,38.5,31
2016/1/5,201603,8800,put,815,815,815
2016/1/5,201603,8900,call,25,25,21
2016/1/5,201603,8900,put,0,0,0
2016/1/5,201603,9000,call,19,19.5,16.5
2016/1/5,201603,9000,put,960,975,975
2016/1/5,201603,9100,call,12.5,12.5,11
2016/1/5,201603,9100,put,0,0,0
2016/1/5,201603,9200,call,6,9.9,9
2016/1/5,201603,9200,put,1150,1180,1180
2016/1/5,201603,9300,call,5.9,6.9,6.2
2016/1/5,201603,9300,put,0,0,0
2016/1/5,201603,9400,call,6.9,6.9,4.9
2016/1/5,201603,9400,put,1340,1390,1390
2016/1/5,201603,9500,call,2.7,3.4,3.4
2016/1/5,201603,9500,put,0,0,0
2016/1/5,201603,9600,call,2.9,3,3
2016/1/5,201603,9600,put,0,0,0
2016/1/5,201603,9700,call,0,0,0
2016/1/5,201603,9700,put,0,0,0
2016/1/5,201603,9800,call,2.1,2.4,1.8
2016/1/5,201603,9800,put,0,0,0
2016/1/5,201603,9900,call,0,0,0
2016/1/5,201603,9900,put,0,0,0
2016/1/5,201603,10000,call,1,1.6,1.6
2016/1/5,201603,10000,put,0,0,0
2016/1/5,201603,10200,call,0,0,0
2016/1/5,201603,10200,put,0,0,0
2016/1/5,201603,10400,call,0,0,0
