Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2014/10/1,17040.46,17041.16,16776.13,16804.71,16995.56,17096.21,17085.98,16949.23,104,89,111,13.32,46.34,-33.02,0.2424 ,0.3600 ,0.3000 ,0.3867 
2016/11/11,18781.65,18855.78,18736.96,18847.66,18567.51,18279.57,18223.86,18274.28,107,124,109,89.87,4.71,85.17,0.8409 ,0.6820 ,0.8667 ,0.7496 
2016/9/19,18154.82,18254.88,18093.05,18120.17,18111.59,18251.27,18359.21,18320.2,78.09,132,112,-81.72,-42.83,-38.9,0.2697 ,0.3188 ,0.3951 ,0.4047 
2013/10/16,15170.7,15374.15,15170.7,15373.83,15241.26,15079.11,15196.45,15233.49,92.84,91.63,91.01,-15.38,-34.61,19.24,0.8113 ,0.6261 ,0.6526 ,0.5798 
2013/5/23,15300.57,15348.41,15180.23,15294.5,15335.79,15261.33,15085.18,14710.37,149,147,132,178.69,167.57,11.12,0.6805 ,0.8019 ,0.6097 ,0.6574 
2014/10/23,16704.94,16767.52,16653.12,16677.9,16506.82,16397.35,16659.05,16830.93,100,106,118,-140.85,-150.17,9.32,0.6481 ,0.4720 ,0.5961 ,0.5088 
2014/6/25,16817.68,16883.54,16799.41,16867.51,16898.29,16849.75,16830.51,16591.6,73.93,109,92.7,76.08,82.37,-6.29,0.6242 ,0.6534 ,0.5185 ,0.5610 
2014/5/8,16518.16,16622.95,16502.01,16550.97,16502.79,16499.92,16421.62,16327.94,75.63,78.62,82.91,52.49,51.01,1.48,0.6727 ,0.6869 ,0.5851 ,0.5638 
2015/12/31,17590.66,17590.66,17421.16,17425.03,17566.06,17472.62,17516.24,17535.29,93.69,64.68,108,-11.92,-19.84,7.92,0.6167 ,0.5973 ,0.4348 ,0.4662 
2015/3/3,18281.95,18281.95,18136.88,18203.37,18212.74,18154.58,18004.69,17755.4,83.84,87.35,86.55,153.44,133.87,19.58,0.8660 ,0.8920 ,0.5932 ,0.6071 
