date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/3,201203,TXO,5300,put,22,22,21,22,127
2012/1/3,201203,TXO,5400,call,0,0,0,0,121
2012/1/3,201203,TXO,5400,put,32.5,32.5,26.5,28,1620
2012/1/3,201203,TXO,5500,call,0,0,0,0,0
2012/1/3,201203,TXO,5500,put,31.5,32,30,32,389
2012/1/3,201203,TXO,5600,call,0,0,0,0,20
2012/1/3,201203,TXO,5600,put,38,38,35,38,804
2012/1/3,201203,TXO,5700,call,0,0,0,0,0
2012/1/3,201203,TXO,5700,put,44,44,44,44,118
2012/1/3,201203,TXO,5800,call,0,0,0,0,0
2012/1/3,201203,TXO,5800,put,56,56,49,49,2476
2012/1/3,201203,TXO,5900,call,0,0,0,0,1
2012/1/3,201203,TXO,5900,put,63,63,63,63,195
2012/1/3,201203,TXO,6000,call,0,0,0,0,0
2012/1/3,201203,TXO,6000,put,69,74,67,72,1194
2012/1/3,201203,TXO,6100,call,0,0,0,0,0
2012/1/3,201203,TXO,6100,put,84,84,78,78,284
2012/1/3,201203,TXO,6200,call,0,0,0,0,0
