Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2011/8/11,7554,7748,7461,7699,7644.4,8081.2,8363.05,8576.02,221666,229173,173208,-253.98,-139.93,-114.05,0.3,0.28,0.26,0.28,0.37
2011/8/12,7740,7794,7564,7592,7609.8,7979.4,8314.5,8555.2,176761,223464,176589,-266.35,-165.22,-101.13,0.31,0.29,0.22,0.26,0.33
2011/8/15,7723,7831,7712,7822,7663,7893.4,8281.3,8538.62,103243,190721,178820,-260.14,-184.2,-75.94,0.38,0.32,0.43,0.37,0.52
2011/8/16,7858,7877,7735,7772,7710.4,7813.3,8243.3,8522.58,137667,162388,182249,-252.93,-197.94,-54.98,0.42,0.35,0.4,0.36,0.49
2011/8/17,7758,7824,7718,7754,7727.8,7745.1,8196.15,8505.77,75512,142970,178373,-246.51,-207.66,-38.85,0.52,0.41,0.39,0.35,0.74
2011/8/18,7580,7584,7447,7498,7687.6,7666,8138.5,8486.08,151918,129020,179097,-259.07,-217.94,-41.13,0.52,0.45,0.27,0.29,0.52
2011/8/19,7298,7355,7191,7197,7608.6,7609.2,8063.65,8459.62,161232,125914,174689,-287.64,-231.88,-55.76,0.39,0.43,0.18,0.24,0.13
2011/8/22,7197,7433,7160,7251,7494.4,7578.7,7995.95,8434.13,205715,146409,168565,-303.65,-246.23,-57.42,0.3,0.39,0.23,0.26,0.13
2011/8/23,7301,7543,7297,7504,7440.8,7575.6,7934.45,8412.27,167685,152412,157400,-297.72,-256.53,-41.19,0.36,0.38,0.43,0.38,0.48
2011/8/24,7530,7550,7340,7422,7374.4,7551.1,7867.5,8385.67,194902,176290,159630,-291.96,-263.62,-28.34,0.36,0.37,0.39,0.36,0.37
2011/8/25,7543,7559,7346,7360,7346.8,7517.2,7799.2,8356.9,150403,175987,152504,-286.29,-268.15,-18.14,0.34,0.36,0.36,0.34,0.28
